"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Spain","ESP","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","2.6","3.38","4.24","2","5.54","7.97","9.7","12.8","15.99","18.69","20.52","23.04","25.04","25.002","27.923","27.996","25.27","24.175","23.206","25.221","28.732","31.59","30.528","29.527","27.984","26.608","22.805","20.326","15.038","16.043","15.683","15.035","11.986","11.344","10.698","12.839","18.127","20.225","21.812","25.034","26.672","25.425","23.549","21.38","19.027","17.024","15.995","17.428","16.715","14.759","13.9",
"Estonia","EST","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.695","1.527","3.463","6.64","7.932","8.861","9.227","9.543","8.513","10.147","11.614","13.237","8.679","10.383","8.834","6.911","5.585","3.757","5.138","10.307","14.097","11.579","9.102","8.156","6.814","6.324","6.164","5.246","5.256","4.923","6.771","5.546","5.061","6.7",
"Ethiopia","ETH","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","1.4","","","","","","","","","","3.3","","","","","5.062","","","","","","3.251","","","","","","","","2.943","","","","","","","","5.275","","",
"European Union","EUU","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3504124052648","11.2921484986074","12.8712391050106","13.3553003471179","13.0345702156489","12.9517029231512","12.7168077754999","12.3374225117387","11.8091617977405","11.4951983126042","10.541136899973","10.6882422284968","10.6308305659705","10.7693243910387","10.6400199579417","9.66829897545974","8.39009605678426","7.9522082787675","9.33761391355755","10.0128302641878","10.1493078875517","11.0480646747368","11.4569086353419","11.0211533671381","10.1791722515395","9.36222176551859","8.42279985737569","7.55708010952624","7.00472147226527","7.34228354214315","7.35680434156238","6.51040704235329","6.35119860240613",
"Fragile and conflict affected situations","FCS","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","1.6","1.04","1.54","1.67","2.38","1.85","2.02","2.93","4.97","6.08","5.72","4.95","4.81","5.17","5.31","4.97","4.6","4.58","4.36","3.95","3.12","2.604","5.033","9.648","14.419","14.872","16.158","15.556","15.175","13.58","12.443","11.988","10.757","10.172","9.94","10.575","8.613","8.082","7.191","6.689","7.574","7.642","7.105","7.055","7.519","7.954","8.844","8.583","8.389","7.299","6.174","7.486","7.049","6.368","6.5",
"Fiji","FJI","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","11.95","","","","","","","","","","","","","","7.84","","","","","","","","6","5.159","","","","","","4.615","","","8.51","","5.54","","","","","","","",
"France","FRA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","4.55","4.61","4.52","4.78","6.08","6.81","7.45","7.55","8.99","9.93","11.11","11.62","10.461","12.094","12.63","12.266","13.468","12.785","12.59","12.162","11.612","12.825","13.401","14.485","14.051","14.486","14.42","14.105","13.901","12.194","10.511","9.799","9.132","9.875","9.84","9.674","8.595","7.914","9.359","9.647","9.709","9.968","9.775","10.006","9.878","9.853","9.373","9.056","8.351","7.951","7.772","7.138","7.2",
"Faroe Islands","FRO","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.21","1.86","2.14","1.12","3.86","8.03","5.74","3.23","4.85","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.878","","","","","","","","","",
"Gabon","GAB","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.14","","","","","","","","","","","","22.37","","","","","28.52","","","","","","","","","","","","","",
"United Kingdom","GBR","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","1.2","1.5","1","1","1.9","3.1","3.7","3.8","3.7","4.8","6.8","7.5","9.747","10.01","10.987","10.895","10.424","8.628","7.138","6.62","7.398","7.413","7.742","7.381","6.914","6.314","5.796","5.345","5.148","4.86","4.113","4.362","4.064","4.19","4.293","4.946","4.961","5.086","6.421","6.875","7.341","7.386","7.038","5.82","5.125","4.68","4.215","3.94","3.535","","","","",
"Georgia","GEO","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.72","12.16","10.5","10.65","11.01","11.54","11.78","12.66","11.65","12.59","17.59","19.08","17.562","17.403","18.368","16.179","14.475","13.923","12.553","12.74","11.229","10.146","10.213","","","",
"Ghana","GHA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.516","5.5","","","","","","8.7","10.7","10.734","","","","","","5.156","","","","5.833","","","2.36","","6.596","","3.477","","","","","3.389","",
"Gibraltar","GIB","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.551","","","","","","","","","","","","","","","","","5.061","","","","",
"Gambia, The","GMB","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.376","","","","","","3.174","","","","","5.813",
"Guinea-Bissau","GNB","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.724","","","","","",
"Equatorial Guinea","GNQ","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","19.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","5.71","8.12","11.681","12.1","11.729","11.559","11.652","12.861","12.578","11.81","12.851","14.729","16.194","15.29","15.664","16.783","16.308","18.97","18.46","17.348","16.323","15.808","15.268","16.441","15.64","13.739","12.916","11.355","13.248","16.405","21.694","28.58","31.654","30.506","29.027","28.064","26.033","24.111","21.197","19.248","18.876","16.397","14.3",
"Grenada","GRD","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.95","","","36.98","","24.88","","21.77","","","","","","","","","","","","","","","","","","","","15.648","11.817","16.525","","","",
"Greenland","GRL","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.59","8.17","9.66","7.42","10.1","7.71","7.82","8.64","8.82","8.02","6.7","","","","7.7","9.6","10.2","10.1","10.3","9.3","","","","","","","","",
"Guatemala","GTM","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","2.09","2.22","","","","","4.17","","3.08","","","","","","","","","","","","","","3.393","3.376","","2.468","","","","3.832","6.614","3.443","3.642","3.366","3.528","3.455","3.502","2.801","2.912","","2.836","4.54","",
"Guam","GUM","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","9.84","9.92","","","","12.1","9.8","10.8","9.11","","","7.17","","","","","","3.707","","","","","","","","","","9.7","","7.7","7.7","7.5","9.9","","9.8","9.3","15.7","10.8","","","","","","","","","","","",
"Guyana","GUY","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.92","","","","","15.3","","","","","","","","","","15.26","","","","","","","","","","","","","","","","16.492","15.079","","","","",
"High income","HIC","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.25662094224573","8.0154218698503","8.50500445559577","8.5817443836666","8.27084281629027","8.20953404030517","7.96147050865699","7.85874494261028","7.58411369174807","7.25275217614345","7.02444907988079","7.46628421831333","7.5044245479299","7.40805840598156","7.22369032390928","6.66188893069172","6.06130245331718","6.17191626502408","7.81465501866916","8.17590606280406","8.05167816672146","8.2824469818953","8.10038428822549","7.56706481604313","6.94520695624874","6.47214401116378","5.91189537713317","5.39477654058992","5.06484878194087","7.15603976829727","5.98623709024606","4.93423649986564","4.79326827367423",
"Hong Kong SAR, China","HKG","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","9.09","4.2","4.2","1.95","2.19","2.62","1.49","1.88","2.11","2.04","2.63","2.53","1.75","1.36","1.06","1.32","1.6","1.89","1.94","1.7","2.93","2.39","2.07","4.03","4.82","4.01","3.84","5.9","6.19","5.55","4.42","3.72","3.36","2.97","4.32","3.502","2.797","2.756","2.97","3.009","3.185","3.081","2.862","2.421","2.298","4.74","4.223","3.523","",
"Honduras","HND","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","8.9","","","","","","","","6","","","","10.92","10.26","","","6.12","5.54","2.93","","","3.4","4.42","3.32","4.35","3.89","","4.08","4.81","6.55","8.31","6.383","4.394","4.283","3.84","4.259","5.398","6.307","5.12","7.45","9.246","8.765","8.882","7.85","7.122","7.62","13.647","10.08","10.592","8.445",
"Heavily indebted poor countries (HIPC)","HPC","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.17","","","","","10.09","10.13","","","17.312","17.855","17.283","15.628","15.269","13.836","12.672","11.34","10.347","10.709","12.306","13.72","15.984","16.759","18.267","16.899","13.788","11.905","9.341","7.159","7.578","8.02","7.904","6.6",
"Haiti","HTI","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","13.5","","","","","","","11.3","","","","","","","","","8.3","","","","","","","","19.2","","","","","17.3","","","","","","","","","","","",
"Hungary","HUN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","7.6","8.722","10.39","9.371","8.687","9.031","7.861","8.091","6.216","5.787","4.877","5.078","5.386","5.857","7.427","7.912","7.734","8.004","9.741","10.663","10.984","10.611","10.136","7.913","7.039","5.108","4.571","3.987","3.496","4.48","4.237","3.482","4.2",
"IBRD only","IBD","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.64468120931744","","","","","","","","","","","","6.35970327425547","","","","","","","7.21694798240644","","7.5969618249301","","",
"IDA & IBRD total","IBT","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.76575901596665","","","","","","","","","","","","","","","","","","","","","","","",
"IDA total","IDA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.04815460184685","","3.54548978027539","4.31303851046521","5.43686809166042","5.52147504966189","","","9.45309549358789","","","","",
"Indonesia","IDN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","1.96","1.14","1.76","","2.24","","3.36","","","2.01","2.56","2.43","2.71","","2.677","2.979","2.969","3.031","5.136","","5.886","5.643","6.116","6.882","6.706","7.373","7.851","8.308","9.177","10.065","9.286","9.906","8.101","6.696","6.391","5.565","4.784","4.266","3.883","4.43","3.866","3.484","4.184","3.35","3.772","3.153","3.155","",
"IDA only","IDX","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","2.7","2.7","1.9","2.6","4.5","5.3","5.6","6","6.7","6.6","5.1","2.8","1.6","1.3","3.26","2.7","","","","2.6","","","0.5","0.4","1.45","0.4","0.5","0.6","0.9","1.96","1.1","1","","","2.76","","1.711","1.26","","2.26","","","","","","","",
"India","IND","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.716","","","","","","2.402","","","","","4.002","","","","","3.788","","3.738","","","","","","7.715","6.072","6.764","5.402","4.588","4.063",
"Not classified","INX","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","15.893","17.44","19.221","19.482","19.019","18.379","16.495","14.976","16.602","15.297","15.819","14.679","12.051","11.744","10.147","7.337","5.618","4.267","3.549","3.748","4.006","3.831","4.01","4.211","4.928","5.702","9.509","11.41","12.5","12.753","12.419","10.875","8.908","7.598","6.294","5.691","4.685","5.649","6.146","4.597","4.2",
"Iran, Islamic Rep.","IRN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","25.5","","","","","24.4","","","","","13.4","","","","","","22.4","","17.8","17.608","16.508","16.097","16.918","17.04","20.74","21.063","19.787","19.874","19.764","19.503","20.776","19.924","18.965","17.547","15.668","16.011","15.823","",
"Iraq","IRQ","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.439","","","","","12.425","","21.92","","22.22","30.96","","","","28.308","","",
"Iceland","ISL","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.888","4.897","5.601","5.542","4.905","3.45","3.818","3.804","2.79","2.625","2.24","2.648","3.969","2.751","2.491","3.06","2.268","2.581","5.683","6.737","6.211","5.665","5.077","4.786","4.051","3.046","2.718","2.536","3.111","5.292","6.365","3.385","3.1",
"Israel","ISR","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","3.15","4.39","","4.61","","4.7","3.69","5.84","6.28","5.94","5.24","6.97","7.02","","","","","14.091","16.421","17.105","14.866","12.345","10.743","9.69","10.904","11.209","11.541","11.165","12.013","12.741","13.811","13.767","11.633","11.043","9.812","7.857","9.181","7.951","6.951","6.873","6.174","5.805","5.309","4.864","4.241","3.878","3.845","3.974","4.733","3.582","",
"Italy","ITA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","9.63","9.51","10.93","11.59","9.58","10.49","11.99","12.5","12.61","13.26","13.06","","14.84","14.209","15.262","15.313","16.965","16.621","17.403","17.282","15.666","15.722","13.855","14.787","15.3","16.089","16.208","16.371","16.535","16.258","14.846","13.037","12.614","11.948","10.221","10.044","8.774","7.84","8.496","9.223","9.598","9.544","11.826","13.067","13.798","12.694","12.775","12.387","11.774","11.098","10.192","10.625","9.349","8.8",
"Jamaica","JAM","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","29.56","32.6","","35.23","","61.97","37.95","39.42","","","56.01","","","36.92","","23.08","22.82","22.81","22.4","21.73","22.51","23.04","23.41","22.09","22.82","22.276","20.93","19.556","16.339","17.283","15.799","14.457","14.283","8.86","9.108","9.759","10.254","11.209","12.57","11.649","17.857","11.372","9.706","6.949","6.364","7.432","6.335","5.128","",
"Jordan","JOR","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","22.8","","","22.3","25.4","","","","","","30","","29.9","24.3","","","","21","20.5","21.9","20.8","","25.9","25","25.6","24.4","24.1","21.7","21.2","19.9","22.2","20.7","22.55","24.125","27.164","24.116","24.115","25.442","26.227","26.956","",
"Japan","JPN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","1.7","1.6","1.5","1.3","1.3","1.3","1.4","1.4","1.1","1.1","1","1.1","1.3","1.2","1.3","1.7","1.7","1.8","2","2","2","2.1","2.3","2.6","2.8","2.7","2.8","2.8","2.6","2.3","2.197","2.225","2.24","2.686","2.971","3.259","3.42","3.368","3.975","4.466","4.507","4.737","5.12","4.888","4.42","4.218","3.925","3.766","3.855","4.784","4.606","4.15","4.052","3.685","3.368","3.092","2.836","2.646","2.233","2.168","2.532","2.551","2.4","2.3",
"Kazakhstan","KAZ","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.05","11.21","10.4","9.84","","","","7.95","7.54","6.63","6.21","6.47","5.87","","","","5.43","","","5.37","","5.5","",
"Kenya","KEN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.337","","","","","","10.133","","","","9.4","","","","","","","2.937","","","5.265","","7.559","","",
"Kyrgyz Republic","KGZ","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.27","","9.26","9.05","9.03","","9.38","9.76","6.339","6.465","5.113","4.52","4.734","3.751","3.526","2.625","3.892","4.493","4.986","4.308","","",
"Cambodia","KHM","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.165","0.637","","","3.108","2.314","","0.929","7.36","","","1.191","0.861","0.557","0.794","0.477","1.133","0.516","0.695","0.457","0.851","0.175","","0.517","0.209","0.416","","",
"Kiribati","KIR","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.24","","","","","34.09","","","","","5.637","","","","8.674","12.338","","","",
"St. Kitts and Nevis","KNA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","12.09","","","","","","","","","","","4.87","","","","","","","","","","4.27","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","2.9","3.29","2.56","2.33","2.7","2.63","1.983","2.433","2.243","2.432","3.529","2.445","2.549","2.236","2.208","2.359","2.08","1.841","1.756","1.84","1.785","1.992","2.139","2.259","1.932","1.688","1.586","2.305","5.667","5.099","3.243","3.006","2.496","3.035","3.079","3.099","2.713","2.403","2.405","2.687","2.841","2.643","2.556","2.457","2.962","3.483","3.539","3.484","3.692","3.582","3.99","3.74","3.032","2.722",
"Kuwait","KWT","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","1.03","","","","","2.59","","","","","","","","","","","","","","","","","1.81","2.9","3.1","3.73","3.39","2.8","","","","4.9","4.4","5.83","","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.51007857608524","8.18247946907155","","10.5939689606096","11.1403382839562","11.0558875597264","11.6658714886472","12.2612215410463","","11.249243241064","11.5215493283075","11.3140072093027","10.8991429101994","10.4790572807793","9.09355124230611","9.45432803932775","8.67824451860828","9.76437701156576","","8.30763246968088","7.85603232637903","7.51429383515364","7.15045748675801","7.898049988078","9.3080259861729","9.72485720230786","9.55889912075143","9.89681765706573","12.4998614333556","11.5917522408465","8.54191616790114","7.60468445502688",
"Lao PDR","LAO","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6","","","","","","","","","","1.36","","","","","0.661","","","","","","","2.753","","","","","0.892","",
"Lebanon","LBN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.51","","","10.14","","10.396","","","","","","","","","","14.311","","","","",
"Liberia","LBR","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.288","","","","1.796","","2.358","5.649","","","","","","",
"Libya","LBY","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.05","","","","","","","","","","","",
"St. Lucia","LCA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","22.15","20.36","19.34","23.79","25.98","20.34","20.79","","23.86","28.05","25","22.9","20.3","18.5","14.75","16.46","","20.22","21.19","23.93","","","","21.169","21.189","17.275","27.718","22.848","17.84","",
"Latin America & Caribbean","LCN","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.65781252878226","8.3077459070383","","10.6817439891998","11.3774078798051","11.0972030516758","11.6838575285843","12.3142908833341","","11.1501556752815","12.0052825099849","11.8570122813907","11.0199111318697","10.6324470414051","9.2464976826778","9.42282299610262","8.66466295183758","9.69457720593123","","8.26558340368423","7.82786097489435","7.48668287105034","7.14577767092957","7.85771759571178","9.01811343431978","9.4811382230871","9.51763514213988","9.82147540002624","12.3560437775991","11.499809805698","8.55436701110862","7.70265402414126",
"Least developed countries: UN classification","LDC","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.53","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.72","","","","","","13.35","11.42","11.5","12.93","12.9","12.92","11.89","9.68","9.03","8.03","8.62","7.399","6.914","6.1","6.43","6.243","7.33","6.72","6.236","6.881","7.252","8.184","7.615","6.218","",
"Lower middle income","LMC","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.99374673814893","","","","","6.30453301694824","","","","","4.67013139685372","","4.92574131340145","","","","","","6.66999114355807","6.80644191736525","6.18986440951447","6.45457919828639","5.34582004819273","",
"Low & middle income","LMY","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.55708156108067","","","","","","","","","","","","","","","","","","","","","","","",
"Lesotho","LSO","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","7.8","","","","","","","","","","","46.55","","33.1","","","","","","","","","38.79","","","","","","","","","","","19.106","","","","",
"Late-demographic dividend","LTE","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.22005450454816","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.94","11.86","12.062","13.605","14.1","12.784","13.2","11.066","8.535","5.611","4.329","5.628","10.521","14.519","12.91","11.573","10.478","9.221","8.161","6.653","5.676","5.409","5.494","7.691","6.606","5.487","6.4",
